epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.151,0.80033,2.20529,0.9839,0.00914,0.98681,0.62968,0.54051,0.54597,2.85376,0.83583,0.00051677,0.00051677,0.00051677
2,456.894,0.52435,0.88814,0.87071,0.99438,0.5181,0.95387,0.87239,0.46192,2.18067,0.83197,0.000842268,0.000842268,0.000842268
3,674.447,0.42925,0.74216,0.84859,0.98422,0.9553,0.98627,0.92846,0.35428,1.43721,0.81156,0.000956525,0.000956525,0.000956525
4,899.982,0.39035,0.64295,0.84497,0.98632,0.97681,0.98907,0.95661,0.28708,0.72391,0.79609,0.000676802,0.000676802,0.000676802
5,1137.35,0.34996,0.58624,0.83772,0.99551,0.98182,0.99088,0.97162,0.23708,0.54661,0.78832,0.000346736,0.000346736,0.000346736
